"Time_Iter","Outer_Iter","Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[T]"     
          0,           0,           0,      -20.51809591,      -20.51809591,               -32,      -4.216346974
          0,           0,           1,      -5.853595364,      -5.837047626,      -8.257530861,      -3.980641326
          0,           0,           2,      -6.084165674,      -5.796858242,       -6.04868087,      -4.112648941
          0,           0,           3,      -6.549769767,      -5.763431956,      -6.272322634,      -4.222776898
          0,           0,           4,      -6.461808224,      -5.811032777,      -6.294507745,      -4.228407203
          0,           0,           5,      -6.434239597,      -5.899693074,      -6.211201367,      -4.258829332
          0,           0,           6,      -6.552567619,      -6.031113769,      -6.268125371,      -4.338152241
          0,           0,           7,      -6.662716227,      -6.184571389,      -6.478847985,      -4.453812769
          0,           0,           8,       -6.60707045,      -6.351664721,      -6.371541638,      -4.587560128
          0,           0,           9,      -6.614468809,      -6.499791562,      -6.418361201,      -4.740999603
          0,           0,          10,      -6.615729116,      -6.606579336,      -6.415204004,      -4.806710823
          0,           0,          11,      -6.686930432,      -6.644265671,      -6.472332491,      -4.893036332
          0,           0,          12,      -6.789296495,      -6.682030694,       -6.55818701,      -5.015140394
          0,           0,          13,      -6.900758886,      -6.755771965,      -6.646212335,      -5.145535142
          0,           0,          14,      -6.955749741,        -6.7612373,      -6.663150957,      -5.200348877
          0,           0,          15,      -7.003950936,      -6.783454919,      -6.681902117,      -5.244125654
          0,           0,          16,       -7.04532296,      -6.806961295,      -6.703229623,      -5.280466099
          0,           0,          17,      -7.096601531,      -6.834254006,      -6.739620888,      -5.329095514
          0,           0,          18,      -7.150019696,      -6.875518164,      -6.780672441,      -5.380752705
          0,           0,          19,      -7.213365595,       -6.92347068,      -6.833462368,      -5.443908696
          0,           0,          20,      -7.283260597,      -6.974120875,       -6.89564808,      -5.515025872
          0,           0,          21,      -7.352037057,      -7.031028101,        -6.9591897,      -5.585398514
          0,           0,          22,      -7.416341617,      -7.088581851,      -7.021499191,      -5.651192901
          0,           0,          23,      -7.480699376,      -7.147233524,      -7.084982901,      -5.717451583
          0,           0,          24,      -7.543734719,      -7.207928718,      -7.146835578,      -5.782467044
          0,           0,          25,      -7.600848636,      -7.266355774,      -7.204423957,      -5.840726837
          0,           0,          26,      -7.656127302,      -7.323970037,      -7.260657305,      -5.896918179
          0,           0,          27,      -7.712305223,      -7.381229125,      -7.317904656,      -5.954437253
          0,           0,          28,      -7.769196114,       -7.43687391,      -7.376491794,      -6.012942656
          0,           0,          29,      -7.825204706,      -7.491371655,      -7.434305269,      -6.070389924
          0,           0,          30,      -7.882338686,      -7.545342962,        -7.4935741,      -6.129318914
          0,           0,          31,      -7.938779201,      -7.597073291,      -7.552839065,      -6.187551361
          0,           0,          32,      -7.991898584,      -7.647295226,      -7.611337532,      -6.242008788
          0,           0,          33,      -8.037726947,         -7.695468,      -7.663714016,      -6.287359165
          0,           0,          34,      -8.083032954,      -7.742190615,      -7.715369776,      -6.332126563
          0,           0,          35,      -8.128130259,      -7.788954904,       -7.76502959,      -6.376662036
          0,           0,          36,      -8.171668114,       -7.83551285,      -7.812559772,      -6.419529142
          0,           0,          37,      -8.211563111,      -7.880863114,      -7.855086496,      -6.457936322
          0,           0,          38,      -8.254339512,      -7.926614922,      -7.898412155,      -6.499928869
          0,           0,          39,        -8.3001118,      -7.972777416,      -7.943240924,      -6.545508974
          0,           0,          40,      -8.347717527,      -8.019096707,      -7.989626302,      -6.593401482
          0,           0,          41,      -8.395132638,      -8.065564722,       -8.03612978,      -6.641068068
          0,           0,          42,      -8.444501516,      -8.112215751,      -8.084207331,      -6.691022566
          0,           0,          43,       -8.49592923,      -8.158791118,       -8.13447709,      -6.743425097
          0,           0,          44,      -8.547398121,      -8.205842087,      -8.185346871,      -6.795946495
          0,           0,          45,      -8.596630368,      -8.252803566,      -8.235010807,       -6.84574806
          0,           0,          46,      -8.644072591,      -8.299736603,      -8.283089884,      -6.893081751
          0,           0,          47,      -8.691428539,      -8.346816719,      -8.330975467,      -6.940162141
          0,           0,          48,      -8.737797015,      -8.394215855,      -8.378083019,      -6.986083795
          0,           0,          49,      -8.782203196,      -8.441794421,      -8.423852563,      -7.029679547
          0,           0,          50,      -8.825263137,      -8.489356286,      -8.468448334,       -7.07156144
          0,           0,          51,      -8.868827017,      -8.537197346,      -8.513383385,      -7.114025047
          0,           0,          52,       -8.91330986,      -8.585370386,      -8.559267338,      -7.157653288
          0,           0,          53,      -8.958538926,        -8.6337858,      -8.605987887,      -7.202229085
          0,           0,          54,       -9.00460067,      -8.682419016,      -8.653582164,      -7.247813728
          0,           0,          55,      -9.051939076,      -8.731278213,      -8.702273659,      -7.294901952
          0,           0,          56,      -9.100633526,      -8.780306073,      -8.752163367,      -7.343600103
          0,           0,          57,       -9.15021919,      -8.829461895,      -8.802886223,      -7.393366016
          0,           0,          58,      -9.200112804,      -8.878687641,      -8.853952097,      -7.443517198
          0,           0,          59,      -9.249745325,      -8.927898399,      -8.904812748,      -7.493360887
          0,           0,          60,       -9.29893212,      -8.977006977,      -8.955168856,      -7.542651239
          0,           0,          61,      -9.347612225,      -9.026020917,      -9.005010252,      -7.591328451
          0,           0,          62,       -9.39546456,      -9.074952497,      -9.054077467,      -7.639024575
          0,           0,          63,      -9.442075639,      -9.123643525,      -9.102024566,      -7.685247768
          0,           0,          64,      -9.487541511,      -9.172021767,       -9.14881395,      -7.730092951
          0,           0,          65,      -9.532522041,      -9.220235885,      -9.195035616,      -7.774363968
          0,           0,          66,      -9.577393781,      -9.268406926,      -9.241091317,       -7.81852529
          0,           0,          67,      -9.622170588,      -9.316530156,      -9.287071171,      -7.862600811
          0,           0,          68,      -9.666988923,      -9.364648813,      -9.333121142,      -7.906741727
          0,           0,          69,      -9.712268028,       -9.41285948,      -9.379635668,      -7.951431783
          0,           0,          70,      -9.758237534,      -9.461184288,      -9.426924466,      -7.996941234
          0,           0,          71,      -9.804731633,      -9.509578114,       -9.47492319,      -8.043079364
          0,           0,          72,      -9.851470903,      -9.558001285,      -9.523409173,      -8.089518217
          0,           0,          73,      -9.898337113,      -9.606441608,       -9.57219034,      -8.136104682
          0,           0,          74,      -9.945373813,      -9.654908452,      -9.621252861,      -8.182886839
