"Time_Iter","Outer_Iter","Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[T]"     
          0,           0,           0,      -20.45632058,      -20.45632058,               -32,      -4.583125692
          0,           0,           1,      -5.619699084,      -6.153472172,      -8.232112285,      -3.820025015
          0,           0,           2,      -5.849895145,      -5.901999066,      -5.816184427,       -4.04019252
          0,           0,           3,      -6.297591878,      -5.800974845,      -6.043047305,      -4.395688849
          0,           0,           4,      -6.205603926,      -5.864796782,      -6.037438377,      -4.334062462
          0,           0,           5,      -6.176930432,      -5.984377857,      -5.930645523,       -4.32122196
          0,           0,           6,      -6.277822911,      -6.118304684,      -5.980363481,       -4.40658712
          0,           0,           7,        -6.3941046,      -6.220199495,       -6.15391002,      -4.503944549
          0,           0,           8,      -6.404338063,      -6.329104125,      -6.117286384,      -4.544993594
          0,           0,           9,      -6.470705449,      -6.464868705,      -6.273458955,       -4.64264914
          0,           0,          10,      -6.491376311,      -6.518351741,      -6.273254288,      -4.690340249
          0,           0,          11,      -6.598832253,      -6.578030202,      -6.379202667,      -4.809523133
          0,           0,          12,      -6.692166367,      -6.618248043,      -6.454708552,      -4.912636946
          0,           0,          13,      -6.817456578,      -6.674612686,      -6.588567824,      -5.052276375
          0,           0,          14,      -6.869960994,      -6.688821367,      -6.596881157,      -5.102584095
          0,           0,          15,      -6.954358233,      -6.743997099,      -6.670588523,      -5.187246812
          0,           0,          16,      -7.007291256,      -6.788754443,      -6.702940205,      -5.236138641
          0,           0,          17,      -7.099674512,      -6.843298637,      -6.786108722,      -5.331256952
          0,           0,          18,      -7.152354622,      -6.900236979,       -6.83016188,      -5.381549064
          0,           0,          19,      -7.228027678,      -6.964187183,      -6.901684961,      -5.457668394
          0,           0,          20,      -7.307872624,      -7.032510781,      -6.980347776,      -5.539330036
          0,           0,          21,      -7.381043673,      -7.111207292,      -7.050856109,      -5.613604305
          0,           0,          22,      -7.433208449,      -7.179056807,      -7.102453788,      -5.664152305
          0,           0,          23,      -7.492438084,       -7.24744484,      -7.161887079,      -5.722662273
          0,           0,          24,      -7.557381044,      -7.318700076,      -7.226022018,      -5.787778685
          0,           0,          25,       -7.61569345,      -7.386097502,      -7.284363929,      -5.845334774
          0,           0,          26,       -7.67581434,      -7.454590696,      -7.343474674,      -5.904776427
          0,           0,          27,      -7.737456361,      -7.523844868,       -7.40263424,      -5.966098592
          0,           0,          28,      -7.804955169,      -7.592312979,      -7.470256109,      -6.034192232
