"Time_Iter","Outer_Iter","Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[T]"     
          0,           0,           0,      -20.95561134,      -20.95561134,               -32,      -4.731230745
          0,           0,           1,      -5.926188146,      -6.332450332,       -8.62162369,      -4.120864878
          0,           0,           2,      -6.154938326,      -6.156229763,      -6.127468256,      -4.329423434
          0,           0,           3,      -6.633492903,      -6.076752636,      -6.381754699,      -4.640677561
          0,           0,           4,      -6.567669635,        -6.1427803,       -6.42020583,      -4.613184341
          0,           0,           5,      -6.492833188,      -6.232569938,       -6.27077055,      -4.585643996
          0,           0,           6,      -6.493196658,      -6.338148403,       -6.18094263,      -4.604871749
          0,           0,           7,      -6.587476788,       -6.42955789,      -6.303667201,      -4.692354244
          0,           0,           8,      -6.580390364,      -6.529893515,      -6.283915015,      -4.725430499
          0,           0,           9,      -6.663764568,       -6.63145061,      -6.390562641,      -4.836805447
          0,           0,          10,      -6.671273336,      -6.710933613,      -6.427948433,       -4.87351457
          0,           0,          11,      -6.755625466,      -6.750887003,      -6.484192344,      -4.964917732
          0,           0,          12,      -6.824740623,       -6.80750834,      -6.548437912,      -5.038800461
          0,           0,          13,      -6.926717492,      -6.853338859,      -6.640136111,      -5.144313203
          0,           0,          14,       -6.99066652,      -6.899721619,      -6.702783125,      -5.210550852
          0,           0,          15,      -7.068621185,      -6.939312106,        -6.7612398,      -5.286787977
          0,           0,          16,      -7.122861224,      -6.990419983,      -6.821344251,      -5.340292812
          0,           0,          17,      -7.208005154,      -7.046805976,       -6.89276976,      -5.424891933
          0,           0,          18,      -7.281496641,      -7.108916488,      -6.974534417,      -5.500259929
          0,           0,          19,      -7.333502148,      -7.162588307,      -7.014841639,       -5.54991531
          0,           0,          20,      -7.409717053,      -7.229052025,      -7.095488146,      -5.627306115
          0,           0,          21,      -7.492615599,      -7.302090416,      -7.174920026,       -5.71074605
          0,           0,          22,      -7.556430213,       -7.37191119,      -7.242332992,      -5.775379347
          0,           0,          23,      -7.611867892,      -7.436175572,      -7.294537469,      -5.829733542
          0,           0,          24,      -7.681298243,      -7.506383592,      -7.364581707,      -5.899731199
          0,           0,          25,      -7.759500856,      -7.579354809,      -7.442753474,      -5.978903598
          0,           0,          26,      -7.822912402,      -7.647288909,      -7.505966089,      -6.042468582
          0,           0,          27,      -7.886689934,      -7.713158367,      -7.570001483,      -6.106174705
          0,           0,          28,      -7.949351754,      -7.779540529,      -7.631212684,      -6.168735291
          0,           0,          29,      -8.015800402,      -7.845152557,      -7.698929404,      -6.235712814
          0,           0,          30,      -8.066973315,      -7.902915725,      -7.748769964,      -6.285944941
          0,           0,          31,      -8.119900974,      -7.961901016,       -7.80285727,      -6.338288113
          0,           0,          32,      -8.166494332,      -8.015966798,       -7.84661067,      -6.383848788
          0,           0,          33,      -8.218708222,      -8.071912751,      -7.901763502,      -6.435926797
          0,           0,          34,      -8.262473385,      -8.122366919,      -7.941316877,      -6.478535772
          0,           0,          35,      -8.310762455,      -8.175214691,      -7.992065671,      -6.526423925
          0,           0,          36,      -8.362305707,      -8.227324398,      -8.038802069,      -6.577354245
          0,           0,          37,      -8.414709391,      -8.282464084,      -8.094512998,      -6.629900374
          0,           0,          38,      -8.455511396,      -8.331113176,      -8.129103363,      -6.669498607
          0,           0,          39,      -8.505588835,      -8.382089752,      -8.181933594,      -6.719463301
          0,           0,          40,      -8.556757507,       -8.43650382,      -8.227613679,      -6.769986861
          0,           0,          41,      -8.608901811,      -8.490438294,      -8.282842665,      -6.822310256
          0,           0,          42,      -8.651803041,      -8.541431376,      -8.321382867,      -6.864152621
          0,           0,          43,      -8.704068574,      -8.594393025,      -8.375305963,      -6.916278518
          0,           0,          44,      -8.754320849,      -8.650877435,      -8.422003807,      -6.965838693
          0,           0,          45,      -8.810664257,      -8.706427265,      -8.479518515,      -7.022261541
          0,           0,          46,      -8.859457414,      -8.762219761,      -8.525954239,      -7.070402463
          0,           0,          47,      -8.913411951,      -8.817871858,      -8.579667567,       -7.12413961
          0,           0,          48,      -8.963359295,      -8.874031653,      -8.628026672,      -7.173564891
          0,           0,          49,      -9.014730048,       -8.92795843,      -8.678890344,      -7.224678208
          0,           0,          50,      -9.058541239,      -8.979792594,      -8.722148988,      -7.267972334
          0,           0,          51,       -9.10476194,      -9.030237172,      -8.767839595,      -7.313764014
          0,           0,          52,      -9.150017556,      -9.080686764,      -8.812825251,      -7.358625585
          0,           0,          53,      -9.194622489,      -9.130174074,      -8.856968889,       -7.40284862
          0,           0,          54,      -9.236634856,      -9.177889601,      -8.898898336,      -7.444508051
          0,           0,          55,      -9.279442056,      -9.225018763,      -8.941267987,      -7.486954091
          0,           0,          56,      -9.322827154,      -9.272246513,      -8.984147829,      -7.530055435
          0,           0,          57,      -9.366258331,      -9.319401128,      -9.027079089,       -7.57320671
          0,           0,          58,      -9.409616624,      -9.366277144,      -9.069933063,      -7.616320459
          0,           0,          59,      -9.452984799,      -9.413039894,      -9.112913233,      -7.659465085
          0,           0,          60,      -9.496878051,       -9.46000934,      -9.156359834,      -7.703157717
          0,           0,          61,      -9.540785837,      -9.506555286,      -9.200010673,      -7.746881563
          0,           0,          62,      -9.584454423,      -9.552939622,      -9.243454093,      -7.790368584
          0,           0,          63,      -9.628145687,      -9.599101707,      -9.286936324,      -7.833908876
          0,           0,          64,      -9.671742195,      -9.645146567,      -9.330411996,       -7.87736767
          0,           0,          65,      -9.714834154,      -9.690473573,      -9.373265937,      -7.920321879
          0,           0,          66,       -9.75779022,      -9.735617615,      -9.416116358,      -7.963152202
          0,           0,          67,       -9.80075649,       -9.78067386,      -9.458797256,      -8.006002065
          0,           0,          68,      -9.843450896,      -9.825302221,       -9.50144886,       -8.04860756
          0,           0,          69,      -9.885586441,      -9.869388514,      -9.543377085,      -8.090640975
          0,           0,          70,      -9.927844755,      -9.913103916,      -9.585602372,      -8.132817601
          0,           0,          71,      -9.969949562,      -9.956659788,      -9.627564058,      -8.174836917
          0,           0,          72,      -10.01203417,      -9.999827006,      -9.669653269,      -8.216860677
          0,           0,          73,      -10.05380456,      -10.04279735,      -9.711342995,      -8.258564114
          0,           0,          74,       -10.0958026,      -10.08553814,      -9.753264148,      -8.300506602
          0,           0,          75,      -10.13775218,      -10.12832024,      -9.795089376,      -8.342400718
          0,           0,          76,      -10.17982419,      -10.17104515,      -9.837024948,      -8.384427992
          0,           0,          77,      -10.22171864,      -10.21369254,      -9.878810236,      -8.426281146
