"Time_Iter","Outer_Iter","Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[T]"     
          0,           0,           0,      -21.18084167,      -21.18084167,               -32,      -4.360505593
          0,           0,           1,       -5.99876158,      -5.987593443,      -8.635438117,      -4.125531748
          0,           0,           2,      -6.226392038,      -5.945317651,       -6.20065966,      -4.255919599
          0,           0,           3,      -6.717769444,      -5.919843943,      -6.452400972,      -4.369369478
          0,           0,           4,      -6.642083387,      -5.969170443,      -6.467826623,      -4.377764345
          0,           0,           5,      -6.565639718,      -6.048430948,      -6.349714231,      -4.400631236
          0,           0,           6,      -6.597573132,      -6.169752354,      -6.294013183,      -4.465057326
          0,           0,           7,      -6.770424442,      -6.331210621,      -6.532516973,      -4.593259589
          0,           0,           8,      -6.705185468,      -6.480442067,      -6.449038828,      -4.714053797
          0,           0,           9,       -6.75302166,      -6.649333118,      -6.526605144,       -4.88000952
          0,           0,          10,      -6.740801565,      -6.735649625,      -6.532380772,      -4.934275708
          0,           0,          11,      -6.806564492,      -6.796017303,      -6.580470899,      -5.012715088
          0,           0,          12,      -6.896361825,      -6.822091276,      -6.656184693,      -5.118389814
          0,           0,          13,      -7.015623948,      -6.887470641,      -6.767490374,      -5.253445681
          0,           0,          14,      -7.067182969,      -6.899503514,      -6.789876957,      -5.304814301
          0,           0,          15,      -7.117477135,      -6.921957469,      -6.813216238,      -5.350878261
          0,           0,          16,        -7.1580119,      -6.951702312,      -6.838905773,      -5.387300424
          0,           0,          17,      -7.218217686,      -6.985946531,      -6.886941739,      -5.445935978
          0,           0,          18,       -7.27531325,      -7.026323547,      -6.936730869,      -5.502186397
          0,           0,          19,      -7.338045513,      -7.076161359,      -6.992007607,       -5.56446019
          0,           0,          20,      -7.411059798,      -7.128817033,       -7.06054239,      -5.638768203
          0,           0,          21,      -7.484696861,       -7.18955041,      -7.130023427,       -5.71409803
          0,           0,          22,      -7.547127448,      -7.249772355,      -7.190694548,      -5.777341262
          0,           0,          23,      -7.608247369,      -7.309881244,      -7.251442527,      -5.839211513
          0,           0,          24,       -7.67206261,      -7.372303662,      -7.314232807,      -5.904258521
          0,           0,          25,      -7.729602996,      -7.433506631,      -7.371403415,      -5.962348209
          0,           0,          26,       -7.78408887,       -7.49311912,      -7.425954565,      -6.016897037
          0,           0,          27,      -7.840457744,      -7.553621334,      -7.481413906,       -6.07372595
          0,           0,          28,      -7.900584409,      -7.613191746,      -7.540882753,      -6.135003798
          0,           0,          29,      -7.958722308,      -7.670937894,      -7.597536152,      -6.193978175
          0,           0,          30,      -8.016742845,      -7.727737909,      -7.655126324,      -6.252901086
          0,           0,          31,      -8.072564379,       -7.78267588,      -7.710094415,      -6.309296457
          0,           0,          32,      -8.127704475,      -7.835846146,      -7.766618367,      -6.365248482
          0,           0,          33,       -8.17243624,      -7.886446986,      -7.813591263,      -6.408923419
          0,           0,          34,      -8.217235717,      -7.934670488,      -7.861311506,      -6.452757891
          0,           0,          35,      -8.262012554,      -7.983154776,      -7.907525103,      -6.496572626
          0,           0,          36,      -8.307948213,      -8.031735731,      -7.954592596,      -6.542064341
          0,           0,          37,      -8.348348414,      -8.078848559,      -7.995705481,      -6.581143023
          0,           0,          38,      -8.392351915,      -8.125939826,      -8.038337172,      -6.624280261
          0,           0,          39,      -8.439333059,      -8.174501953,      -8.082984509,      -6.670857876
          0,           0,          40,       -8.48890629,      -8.223798061,      -8.129581816,       -6.72045665
          0,           0,          41,      -8.536794742,      -8.272926214,      -8.175580598,      -6.768202229
          0,           0,          42,      -8.585303048,      -8.322224897,      -8.221689546,      -6.816481519
          0,           0,          43,      -8.635619744,      -8.371923687,      -8.270405491,      -6.866869013
          0,           0,          44,      -8.685481559,      -8.421727411,      -8.318903098,      -6.916677214
          0,           0,          45,       -8.73213022,      -8.470737157,      -8.365541233,      -6.962909921
          0,           0,          46,      -8.775916048,      -8.518852088,      -8.409445458,      -7.005799534
          0,           0,          47,      -8.820552609,      -8.567019591,      -8.454069772,      -7.049692344
          0,           0,          48,      -8.864932165,      -8.615580727,      -8.498201059,      -7.093302126
          0,           0,          49,      -8.908452098,      -8.664060245,       -8.54154066,      -7.136024506
          0,           0,          50,      -8.951251076,      -8.712665222,      -8.584227965,      -7.177954532
          0,           0,          51,      -8.995622198,      -8.761885499,       -8.62806866,       -7.22162278
          0,           0,          52,      -9.041429163,      -8.811592911,      -8.673344936,      -7.266907873
          0,           0,          53,      -9.088089689,      -8.861500528,      -8.719551012,      -7.313150299
          0,           0,          54,      -9.135163686,      -8.911395254,      -8.766475421,      -7.359878466
          0,           0,          55,      -9.182782844,      -8.961258893,      -8.813928888,      -7.407183299
          0,           0,          56,      -9.230917535,       -9.01100488,      -8.861871745,      -7.455054314
          0,           0,          57,      -9.278986692,      -9.060686934,      -8.909709499,      -7.502851187
          0,           0,          58,      -9.326516808,      -9.110245653,      -8.956975688,      -7.550077115
