"Time_Iter","Outer_Iter","Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[T]"     
          0,           0,           0,        -20.371295,        -20.371295,               -32,      -5.070920796
          0,           0,           1,      -5.288886724,      -6.154320487,      -7.993754435,      -3.493286947
          0,           0,           2,      -5.524192442,      -5.711768155,      -5.475023257,      -3.728396386
          0,           0,           3,      -5.889367041,      -5.603130537,       -5.68941288,      -4.090622742
          0,           0,           4,      -5.833142776,       -5.68993337,      -5.666483862,      -4.035559264
          0,           0,           5,      -5.845527753,      -5.842677469,      -5.591926194,       -4.04873268
          0,           0,           6,      -5.973408783,      -5.924482149,      -5.730464496,      -4.175023184
          0,           0,           7,        -6.0278564,      -5.982586644,       -5.76006713,      -4.227621711
          0,           0,           8,       -6.12484764,      -6.097667873,       -5.85664143,      -4.323106293
          0,           0,           9,      -6.167119668,      -6.206735632,      -5.961858629,      -4.368385437
          0,           0,          10,      -6.274142754,      -6.287044122,      -6.037371391,      -4.475894346
          0,           0,          11,      -6.372282693,      -6.344309175,      -6.134248205,      -4.577389576
          0,           0,          12,      -6.494550014,      -6.396505058,      -6.238925319,      -4.705666253
          0,           0,          13,      -6.600161032,      -6.461639246,      -6.344162003,      -4.817212593
          0,           0,          14,      -6.694480493,      -6.531893272,      -6.419283244,      -4.910720741
          0,           0,          15,      -6.785695905,      -6.628460897,      -6.511415579,      -5.001793997
          0,           0,          16,       -6.87534652,      -6.726638708,      -6.579507217,      -5.090237377
          0,           0,          17,      -6.976317801,      -6.826535621,      -6.689740965,      -5.191421439
          0,           0,          18,      -7.066998581,      -6.946427793,      -6.774792037,      -5.280871463
          0,           0,          19,      -7.163416278,      -7.050637046,      -6.876161606,       -5.37669505
          0,           0,          20,      -7.263617909,      -7.169979422,      -6.982350786,      -5.475720693
          0,           0,          21,      -7.327198548,      -7.278532544,      -7.044261338,      -5.537510172
          0,           0,          22,       -7.39982765,       -7.36714156,      -7.122125191,      -5.608889993
          0,           0,          23,      -7.473163914,      -7.444489688,      -7.197398967,      -5.681138764
          0,           0,          24,      -7.552916684,      -7.547981065,      -7.287702399,       -5.76034614
          0,           0,          25,       -7.60400043,      -7.611702318,      -7.334779828,      -5.810541002
          0,           0,          26,       -7.67390636,      -7.697160028,      -7.413295892,      -5.880095693
          0,           0,          27,      -7.727304782,      -7.766419252,      -7.459780377,      -5.932858103
          0,           0,          28,      -7.797312435,      -7.834741845,      -7.545877734,      -6.002828951
          0,           0,          29,      -7.853956297,      -7.899706733,      -7.598126825,      -6.059025002
          0,           0,          30,      -7.917667319,      -7.982845648,      -7.677858388,      -6.122739238
          0,           0,          31,      -7.965671399,      -8.041368898,      -7.714420068,      -6.170313815
          0,           0,          32,      -8.025969691,      -8.100501562,       -7.79265386,      -6.230683393
          0,           0,          33,      -8.075583916,      -8.164550125,      -7.832946458,      -6.280004434
          0,           0,          34,       -8.13473697,      -8.219682611,      -7.910823535,      -6.339316454
